tweet_id	retweet_count	favorite_count
850753642995093505	8107	28209
850380195714523136	2336	12104
850333567704068097	301	3199
850145622816686080	3404	15076
850019790995546112	4388	18820
849776966551130114	6843	27967
849668094696017920	4458	0
849412302885593088	2840	14696
849336543269576704	1696	10581
849051919805034497	7652	39085
848690551926992896	3935	23311
848324959059550208	4172	22874
848213670039564288	647	7549
848212111729840128	2724	15062
847978865427394560	2931	0
847971574464610304	396	0
847962785489326080	4591	21774
847842811428974592	1193	5023
847617282490613760	376	6477
847606175596138505	3100	17382
847251039262605312	3929	19018
847157206088847362	5266	18407
847116187444137987	2886	19908
846874817362120707	3561	18656
846514051647705089	10416	41298
846505985330044928	2770	13101
846153765933735936	8197	29170
846139713627017216	9188	28870
846042936437604353	2598	14844
845812042753855489	7892	27095
845677943972139009	4396	23489
845397057150107648	1624	7101
845306882940190720	4875	21669
845098359547420673	6956	0
844979544864018432	2320	12703
844973813909606400	2865	13966
844580511645339650	2823	15319
844223788422217728	1994	12725
843981021012017153	2705	14153
843856843873095681	4179	20005
843604394117681152	2487	15745
843235543001513987	5434	20012
842846295480000512	3320	14246
842765311967449089	1178	6310
842535590457499648	3192	16957
842163532590374912	5277	22788
842115215311396866	2766	13063
841833993020538882	13618	0
841680585030541313	7177	24085
841439858740625411	3343	11773
841320156043304961	5035	18458
841314665196081154	4248	14780
841077006473256960	4898	21383
840761248237133825	1623	0
840728873075638272	14642	0
840698636975636481	2	165
840696689258311684	892	11508
840632337062862849	1623	8446
840370681858686976	4192	15372
840268004936019968	5238	17947
839990271299457024	2077	12566
839549326359670784	7100	25640
839290600511926273	133	0
839239871831150596	5960	25288
838952994649550848	3669	18412
838921590096166913	1859	10446
838916489579200512	31	0
838831947270979586	10068	0
838561493054533637	1234	10273
838476387338051585	4358	21030
838201503651401729	9237	0
838150277551247360	304	1572
838085839343206401	1	133
838083903487373313	2854	16510
837820167694528512	7175	31906
837482249356513284	409	3619
837471256429613056	2067	12017
837110210464448512	2185	15096
836989968035819520	2123	11981
836753516572119041	4276	18171
836677758902222849	2030	11871
836648853927522308	509	0
836397794269200385	25167	0
836380477523124226	2753	13935
836260088725786625	3990	20010
836001077879255040	3904	17937
835685285446955009	7450	0
835574547218894849	3310	16694
835536468978302976	1550	0
835309094223372289	19231	0
835297930240217089	2750	15470
835264098648616962	1550	7255
835246439529840640	63	1993
835172783151792128	5316	24629
835152434251116546	2769	21005
834931633769889797	1497	10130
834786237630337024	5123	20266
834574053763584002	2321	12841
834477809192075265	9801	0
834458053273591808	1554	9052
834209720923721728	4344	19302
834167344700198914	3373	14866
834089966724603904	1971	9468
834086379323871233	2045	12273
833863086058651648	2217	12656
833826103416520705	3497	17110
833732339549220864	205	0
833722901757046785	3007	19733
833479644947025920	1898	14047
833124694597443584	4458	19035
832998151111966721	2026	12466
832769181346996225	38	0
832757312314028032	3332	15888
832682457690300417	2670	11167
832645525019123713	485	2747
832636094638288896	2573	14940
832397543355072512	2041	11264
832369877331693569	2931	16114
832273440279240704	2151	10672
832215909146226688	5742	0
832215726631055365	8609	0
832088576586297345	2	59
832040443403784192	8851	0
832032802820481025	4313	16805
831939777352105988	5673	22512
831926988323639298	34	319
831911600680497154	5996	25899
831670449226514432	1691	9816
831650051525054464	1792	6698
831552930092285952	2167	8475
831322785565769729	1447	8771
831315979191906304	1040	6183
831309418084069378	2275	11116
831262627380748289	1896	11193
830956169170665475	1379	7531
830583320585068544	15451	62581
830173239259324417	5258	0
830097400375152640	2709	9192
829878982036299777	4622	0
829861396166877184	1798	11549
829501995190984704	9801	29946
829449946868879360	1865	9899
829141528400556032	6790	22951
829011960981237760	15149	50354
828801551087042563	3172	0
828770345708580865	5410	24148
828708714936930305	10356	34322
828650029636317184	1245	8974
828409743546925057	1083	6052
828408677031882754	1189	7266
828381636999917570	2066	11894
828376505180889089	996	6995
828372645993398273	2730	11888
828361771580813312	165	2074
828046555563323392	2663	11077
828011680017821696	2001	9793
827933404142436356	4848	18888
827653905312006145	2800	14609
827600520311402496	866	7067
827324948884643840	2813	14969
827199976799354881	2065	10019
826958653328592898	4622	20351
826848821049180160	9361	34097
826615380357632002	3689	0
826598799820865537	230	4867
826598365270007810	2183	9463
826476773533745153	3897	17401
826240494070030336	2424	12545
826204788643753985	857	4603
826115272272650244	2877	14758
825876512159186944	1740	9931
825829644528148480	2338	12035
825535076884762624	16375	54029
825147591692263424	4191	17287
825120256414846976	1168	0
825026590719483904	1168	5917
824796380199809024	5109	0
824775126675836928	3280	14081
824663926340194305	1650	9946
824325613288833024	9901	11200
824297048279236611	3574	14243
824025158776213504	558	4584
823939628516474880	2542	10073
823719002937630720	10379	0
823699002998870016	2336	13226
823581115634085888	2448	12285
823333489516937216	22	662
823322678127919110	3724	14846
823269594223824897	9245	0
822975315408461824	3202	16394
822872901745569793	39979	124222
822859134160621569	2113	12472
822647212903690241	5962	0
822610361945911296	2738	13993
822489057087389700	5962	17140
822462944365645825	13172	26350
822244816520155136	9245	33156
822163064745328640	4392	0
821886076407029760	2147	10690
821813639212650496	3127	0
821765923262631936	1557	7916
821522889702862852	1634	7583
821421320206483457	5133	0
821407182352777218	4000	11116
821153421864615936	9	236
821149554670182400	1826	8120
821107785811234820	1977	9081
821044531881721856	2128	11971
820837357901512704	6253	0
820749716845686786	9237	29874
820690176645140481	3007	11599
820494788566847489	523	0
820446719150292993	2398	0
820314633777061888	523	3163
820078625395449857	5802	18677
820013781606658049	1083	0
819952236453363712	1083	5024
819924195358416896	4552	12247
819711362133872643	2881	12638
819588359383371776	1871	9166
819347104292290561	1119	6853
819238181065359361	379	2141
819227688460238848	6253	21822
819015337530290176	34585	0
819015331746349057	17821	0
819006400881917954	17821	43084
819004803107983360	34585	82771
818646164899774465	19477	0
818627210458333184	7066	21254
818614493328580609	2357	9318
818588835076603904	5705	0
818536468981415936	2279	10289
818307523543449600	7476	0
818259473185828864	2091	10429
818145370475810820	2372	11631
817908911860748288	741	4611
817827839487737858	25167	48699
817777686764523521	2524	10236
817536400337801217	2735	11141
817502432452313088	3146	0
817423860136083457	13618	31908
817415592588222464	891	5303
817181837579653120	7885	0
817171292965273600	1874	8316
817120970343411712	2415	11558
817056546584727552	1522	8148
816829038950027264	4399	0
816816676327063552	1898	9489
816697700272001025	2061	9257
816450570814898180	7476	28750
816336735214911488	1807	8175
816091915477250048	1993	8489
816062466425819140	946	0
816014286006976512	4890	0
815990720817401858	946	4695
815966073409433600	7885	21158
815745968457060357	3865	0
815736392542261248	2125	9320
815639385530101762	1557	7828
815390420867969024	3576	9813
814986499976527872	1188	7263
814638523311648768	2529	10706
814578408554463233	5468	0
814530161257443328	1743	8225
814153002265309185	8121	27297
813944609378369540	2962	0
813910438903693312	1736	8864
813812741911748608	13051	34673
813800681631023104	1651	7889
813217897535406080	6858	17713
813202720496779264	1707	8777
813187593374461952	4054	18856
813172488309972993	1809	8816
813157409116065792	2069	7389
813142292504645637	2247	8094
813130366689148928	421	4266
813127251579564032	2926	11231
813112105746448384	2574	9808
813096984823349248	3396	10046
813081950185472002	2602	9429
813066809284972545	1833	7550
813051746834595840	6871	19946
812781120811126785	1788	7162
812709060537683968	1356	6300
812503143955202048	1149	5746
812466873996607488	1802	7581
812372279581671427	3429	12953
811985624773361665	1312	6921
811744202451197953	1481	7167
811647686436880384	684	5324
811627233043480576	2858	12091
811386762094317568	5994	19899
810984652412424192	1336	5063
810896069567610880	1647	8556
810657578271330305	2474	10444
810284430598270976	10512	33343
810254108431155201	3172	13996
809920764300447744	3689	14800
809808892968534016	4589	0
809448704142938112	1373	6617
809220051211603969	5258	18918
809084759137812480	3310	12590
808838249661788160	2870	9655
808733504066486276	2035	7519
808501579447930884	2457	10772
808344865868283904	19477	40269
808134635716833280	5530	0
808106460588765185	2073	8401
808001312164028416	3320	11868
807621403335917568	3397	13877
807106840509214720	51749	111812
807059379405148160	6906	0
807010152071229440	3640	12498
806629075125202948	32440	70706
806620845233815552	5152	0
806576416489959424	1827	4666
806542213899489280	2222	9750
806242860592926720	10903	0
806219024703037440	1134	6145
805958939288408065	5025	0
805932879469572096	1805	7898
805826884734976000	1719	6248
805823200554876929	7494	0
805520635690676224	1553	5491
805487436403003392	2383	8361
805207613751304193	1629	7492
804738756058218496	3605	13003
804475857670639616	1893	5852
804413760345620481	3016	0
804026241225523202	15084	42138
803773340896923648	2592	9575
803692223237865472	6939	0
803638050916102144	3890	10394
803380650405482500	1774	7410
803321560782307329	4968	0
803276597545603072	2303	9569
802952499103731712	1878	8589
802624713319034886	2732	0
802600418706604034	1386	6775
802572683846291456	2362	8530
802323869084381190	5492	15360
802265048156610565	1301	6631
802239329049477120	2465	8665
802185808107208704	251	0
801958328846974976	1599	7375
801854953262350336	219	1725
801538201127157760	1957	7831
801285448605831168	774	5750
801167903437357056	5530	23218
801127390143516673	3710	0
801115127852503040	1986	7685
800859414831898624	91	647
800855607700029440	1520	0
800751577355128832	2640	10104
800513324630806528	2835	12516
800459316964663297	2064	9058
800443802682937345	4033	0
800388270626521089	2639	10636
800188575492947969	3699	0
800141422401830912	2398	14535
800018252395122689	12346	26946
799774291445383169	4378	0
799757965289017345	2006	7986
799422933579902976	1803	7696
799308762079035393	5096	0
799297110730567681	2570	9404
799063482566066176	2345	7705
798933969379225600	4163	12442
798925684722855936	1363	7168
798705661114773508	6232	0
798701998996647937	7264	0
798697898615730177	6113	0
798694562394996736	4651	0
798686750113755136	2184	0
798682547630837760	4438	0
798673117451325440	5231	0
798665375516884993	3683	0
798644042770751489	1748	0
798628517273620480	1867	0
798585098161549313	5288	0
798576900688019456	5494	0
798340744599797760	3147	0
798209839306514432	2425	9938
797971864723324932	2894	10970
797545162159308800	4626	13900
797236660651966464	6175	18963
797165961484890113	24	214
796904159865868288	8368	0
796865951799083009	1831	7325
796759840936919040	2842	11222
796563435802726400	6759	0
796484825502875648	1656	7200
796387464403357696	3899	10476
796177847564038144	13401	0
796149749086875649	13401	30575
796125600683540480	1688	4741
796116448414461957	2257	8660
796080075804475393	2172	8034
796031486298386433	3511	10291
795464331001561088	22018	46866
795400264262053889	2690	9533
795076730285391872	5109	15362
794983741416415232	3168	0
794926597468000259	2165	9701
794355576146903043	9682	0
794332329137291264	2543	9151
794205286408003585	3119	8783
793962221541933056	4589	15935
793845145112371200	1752	8785
793614319594401792	2934	0
793601777308463104	1522	7592
793500921481273345	2238	10145
793286476301799424	8609	23381
793271401113350145	2254	8261
793256262322548741	7822	18965
793241302385262592	3085	10010
793226087023144960	2726	9295
793210959003287553	2614	8489
793195938047070209	5286	14474
793180763617361921	1871	6560
793165685325201412	2633	8916
793150605191548928	1599	5859
793135492858580992	2366	6094
793120401413079041	3696	12047
792913359805018113	3721	13621
792883833364439040	4013	10731
792773781206999040	1575	7003
792394556390137856	4022	12736
792050063153438720	1674	6788
791821351946420224	19754	0
791784077045166082	8924	0
791780927877898241	3565	0
791774931465953280	20810	42833
791672322847637504	2934	11169
791406955684368384	3865	12507
791312159183634433	2371	8329
791026214425268224	3825	0
790987426131050500	1993	9321
790946055508652032	4399	15889
790723298204217344	2150	0
790698755171364864	1812	7814
790581949425475584	6664	19607
790337589677002753	1771	7431
790277117346975746	2962	11925
790227638568808452	3319	0
789986466051088384	2150	8818
789960241177853952	3845	0
789903600034189313	3890	9804
789628658055020548	1653	7086
789599242079838210	1798	6396
789530877013393408	3168	11101
789314372632018944	2143	8208
789280767834746880	4598	0
789268448748703744	2451	8677
789137962068021249	2612	9238
788908386943430656	11731	26108
788765914992902144	9682	25955
788552643979468800	6677	0
788412144018661376	4939	14750
788178268662984705	1983	6910
788150585577050112	1204	5808
788070120937619456	3221	0
788039637453406209	1233	5804
787810552592695296	2847	8164
787717603741622272	2589	9718
787397959788929025	2672	10347
787322443945877504	1630	7412
787111942498508800	6306	0
786963064373534720	7450	25321
786729988674449408	2279	0
786709082849828864	5742	17386
786664955043049472	2368	10063
786595970293370880	2927	8996
786363235746385920	3227	10297
786286427768250368	2653	7574
786233965241827333	4392	14433
786051337297522688	149	1356
786036967502913536	6511	0
785927819176054784	2994	10832
785872687017132033	1675	6353
785639753186217984	2106	7468
785533386513321988	1844	8603
785515384317313025	1167	5806
785264754247995392	1522	6914
785170936622350336	4508	11396
784826020293709826	3016	9589
784517518371221505	2371	8508
784431430411685888	1184	5450
784183165795655680	7494	18994
784057939640352768	10379	28146
783839966405230592	10068	28427
783821107061198850	1832	6997
783695101801398276	2997	9890
783466772167098368	2078	7993
783391753726550016	5103	16018
783347506784731136	5159	0
783334639985389568	10903	27542
783085703974514689	2024	7743
782969140009107456	6906	22855
782747134529531904	1320	7081
782722598790725632	5025	16327
782598640137187329	1769	7391
782305867769217024	5133	15741
782021823840026624	5751	0
781955203444699136	3146	10583
781661882474196992	2529	9891
781655249211752448	1056	3792
781524693396357120	5152	19616
781308096455073793	2386	6758
781251288990355457	1932	7930
781163403222056960	2585	9290
780931614150983680	6759	20508
780858289093574656	1869	6814
780800785462489090	1203	5201
780601303617732608	3127	11445
780543529827336192	1629	5960
780496263422808064	3431	0
780476555013349377	103	0
780459368902959104	1005	5005
780192070812196864	2092	8225
780092040432480260	2143	0
780074436359819264	4583	11449
779834332596887552	6511	17789
779377524342161408	2894	8271
779124354206535695	17053	0
779056095788752897	4220	13927
778990705243029504	6665	18784
778774459159379968	9173	0
778764940568104960	338	823
778748913645780993	1209	6471
778650543019483137	1394	5428
778624900596654080	943	4346
778408200802557953	4014	12888
778396591732486144	11357	0
778383385161035776	1020	5517
778286810187399168	3066	9754
778039087836069888	2469	7998
778027034220126208	1494	6202
777953400541634568	3275	0
777885040357281792	1517	6000
777684233540206592	2732	10640
777641927919427584	3930	0
777621514455814149	2346	8233
777189768882946048	3993	13359
776819012571455488	12632	0
776813020089548800	1118	4615
776249906839351296	8481	0
776218204058357768	14758	28139
776201521193218049	2338	9037
776113305656188928	4033	11134
776088319444877312	141	1717
775898661951791106	15565	0
775842724423557120	2468	11049
775733305207554048	3710	13103
775729183532220416	4283	12283
775364825476165632	2722	6959
775350846108426240	3632	9595
775085132600442880	4378	14650
774757898236878852	1656	8142
774639387460112384	1616	6369
774314403806253056	5096	20568
773985732834758656	3591	10178
773922284943896577	1630	6069
773704687002451968	1499	6247
773670353721753600	1226	5060
773547596996571136	5705	20852
773336787167145985	4681	0
773308824254029826	6956	22012
773247561583001600	3011	8894
773191612633579521	3811	9413
772877495989305348	3584	8059
772826264096874500	2214	7577
772615324260794368	3127	0
772581559778025472	1588	6120
772193107915964416	1291	5688
772152991789019136	1055	3598
772117678702071809	688	3560
772114945936949249	440	2587
772102971039580160	866	3778
771908950375665664	1759	6196
771770456517009408	3147	11303
771500966810099713	2426	7787
771380798096281600	4681	9933
771171053431250945	6909	0
771136648247640064	2716	8625
771102124360998913	1338	5875
771014301343748096	1538	6494
770787852854652928	1107	4625
770772759874076672	1328	4898
770655142660169732	1670	6936
770414278348247044	1930	5956
770293558247038976	1357	5859
770093767776997377	2819	0
770069151037685760	2129	7160
769940425801170949	8851	29338
769695466921623552	1565	6055
769335591808995329	7142	0
769212283578875904	1601	5087
768970937022709760	6012	13427
768909767477751808	2449	0
768855141948723200	828	3942
768609597686943744	1100	3866
768596291618299904	1192	4740
768554158521745409	5393	0
768473857036525572	3164	12787
768193404517830656	3275	10208
767884188863397888	1268	4480
767754930266464257	4968	15009
767500508068192258	2155	7067
767191397493538821	3482	11552
767122157629476866	2653	9572
766793450729734144	1260	4761
766714921925144576	348	2464
766693177336135680	730	3802
766423258543644672	1460	5650
766313316352462849	1738	6356
766078092750233600	2432	0
766069199026450432	779	3955
766008592277377025	461	3547
765719909049503744	1999	6818
765669560888528897	1134	4864
765395769549590528	3120	25154
